Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
99,NWL,Netwealth Group Ltd,$17.45,+0.36,+2.11%,$4.15 B,+88.85%
100,APX,Appen Ltd,$33.76,+1.51,+4.68%,$4.11 B,+57.91%
101,IPL,Incitec Pivot Ltd,$2.05,+0.105,+5.40%,$3.98 B,-43.21%
102,-,EBO,Ebos Group Ltd,$24.22,0.00,0.00%,$3.98 B
103,NEC,Nine Entertainment Co. Holdings Ltd,$2.17,+0.04,+1.88%,$3.70 B,+18.58%
104,BEN,Bendigo and Adelaide Bank Ltd,$6.94,+0.16,+2.36%,$3.68 B,-33.91%
105,STW,SPDR S&P/ASX 200 Fund,$56.39,+1.1,+1.99%,$3.68 B,-9.20%
106,BRG,Breville Group Ltd,$26.09,+0.61,+2.39%,$3.62 B,+64.09%
107,IFT,Infratil Ltd,$4.97,-0.12,-2.36%,$3.60 B,+11.19%
108,SKI,Spark Infrastructure Group,$2.04,+0.02,+0.99%,$3.55 B,-0.97%
109,-,CNU,Chorus Ltd,$7.88,0.00,0.00%,$3.52 B
110,PMV,Premier Investments Ltd,$21.86,+0.73,+3.46%,$3.47 B,+12.28%
111,PME,Pro Medicus Ltd,$32.75,+0.66,+2.06%,$3.41 B,+30.74%
112,CGF,Challenger Ltd,$5.00,+0.15,+3.09%,$3.38 B,-36.14%
113,FBU,Fletcher Building Ltd,$4.09,+0.14,+3.54%,$3.37 B,-6.62%
114,RWC,Reliance Worldwide Corporation Ltd,$4.23,+0.14,+3.42%,$3.34 B,+0.48%
115,IVV,Ishares S&P 500 ETF,$472.93,+4.13,+0.88%,$3.32 B,+6.16%
116,SGR,The Star Entertainment Group Ltd,$3.42,+0.21,+6.54%,$3.26 B,-27.23%
117,DOW,Downer Edi Ltd,$4.61,+0.14,+3.13%,$3.23 B,-42.81%
118,SDF,Steadfast Group Ltd,$3.59,+0.04,+1.13%,$3.12 B,0.00%
119,MTS,Metcash Ltd,$3.03,+0.1,+3.41%,$3.10 B,+6.69%
120,Z1P,ZIP Co Ltd,$5.85,+0.2,+3.54%,$3.04 B,+60.27%
121,GNE,Genesis Energy Ltd,$2.88,-0.03,-1.03%,$3.01 B,-4.00%
122,IOZ,Ishares Core S&P/ASX 200 ETF,$24.84,+0.46,+1.89%,$2.99 B,-8.81%
123,APE,Eagers Automotive Ltd,$11.62,+0.67,+6.12%,$2.99 B,-4.36%
124,BOQ,Bank of Queensland Ltd,$6.45,+0.03,+0.47%,$2.93 B,-29.12%
